 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage M Z Y
 8.75013E+06  5.064  4.216  2.471  8.123  2.569  0.982 3.35E-4 2.65E-4 0.0000 0.6035  5.053 0.2758 0.3795  1.365 0.0000 0.0411  0.000  0.000  0.0000          
 8.75055E+06  5.063  4.199  2.400  8.134  2.606  0.982 3.39E-4 2.65E-4 0.0000 0.6035  5.051 0.2785 0.3761  1.842 0.0000 0.0461  0.000  0.000  0.0000          
 8.75097E+06  5.063  4.179  2.321  8.145  2.643  0.982 3.50E-4 2.65E-4 0.0000 0.6035  5.049 0.2805 0.3722  2.293 0.0000 0.0473  0.000  0.000  0.0000          
 8.75140E+06  5.061  4.157  2.236  8.157  2.680  0.982 3.74E-4 2.66E-4 0.0008 0.6035  5.045 0.2827 0.3688  2.714 0.0000 0.0473  0.000  0.000  0.0000          
 8.75184E+06  5.059  4.133  2.141  8.169  2.715  0.981 4.07E-4 2.66E-4 0.0060 0.6035  5.041 0.2848 0.3654  3.152 0.0000 0.0485  0.000  0.000  0.0000          
 8.75230E+06  5.056  4.105  2.032  8.181  2.748  0.981 4.41E-4 2.66E-4 0.0161 0.6036  5.035 0.2868 0.3625  3.579 0.0000 0.0497  0.000  0.000  0.0000          
 8.75254E+06  5.055  4.089  1.970  8.187  2.764  0.981 4.68E-4 2.66E-4 0.0237 0.6036  5.031 0.2881 0.3609  3.784 0.0000 0.0497  0.000  0.000  0.0000          
 8.75279E+06  5.053  4.071  1.902  8.193  2.779  0.981 4.94E-4 2.66E-4 0.0325 0.6036  5.025 0.2894 0.3593  3.984 0.0000 0.0497  0.000  0.000  0.0000          
 8.75306E+06  5.050  4.051  1.823  8.199  2.792  0.981 5.31E-4 2.66E-4 0.0436 0.6036  5.017 0.2902 0.3581  4.171 0.0000 0.0510  0.000  0.000  0.0000          
 8.75336E+06  5.048  4.026  1.724  8.204  2.802  0.981 5.81E-4 2.66E-4 0.0570 0.6036  5.005 0.2915 0.3565  4.343 0.0000 0.0522  0.000  0.000  0.0000          
 8.75373E+06  5.045  3.992  1.594  8.209  2.811  0.980 6.55E-4 2.66E-4 0.0727 0.6036  4.989 0.2930 0.3549  4.493 0.0000 0.0534  0.000  0.000  0.0000          
 8.75422E+06  5.040  3.940  1.390  8.213  2.816  0.980 7.80E-4 2.66E-4 0.0906 0.6036  4.966 0.2940 0.3532  4.614 0.0000 0.0558  0.000  0.000  0.0000          
 8.75501E+06  5.031  3.848  1.030  8.217  2.817  0.979 1.03E-3 2.66E-4 0.1133 0.6036  4.933 0.2961 0.3489  4.697 0.0000 0.0583  0.000  0.000  0.0000          
 8.75569E+06  5.013  3.763  0.708  8.219  2.815  0.979 1.03E-3 2.66E-4 0.1296 0.6036  4.911 0.2974 0.3471  4.736 0.0000 0.0595  0.000  0.000  0.0000          
 8.75585E+06  5.000  3.747  0.659  8.219  2.814  0.979 9.88E-4 2.66E-4 0.1342 0.6036  4.903 0.2978 0.3467  4.753 0.0000 0.0595  0.000  0.000  0.0000          
 8.75602E+06  4.987  3.730  0.603  8.219  2.813  0.979 1.02E-3 2.66E-4 0.1376 0.6036  4.897 0.2982 0.3465  4.755 0.0000 0.0595  0.000  0.000  0.0000          
 8.75619E+06  4.976  3.711  0.538  8.219  2.813  0.979 1.06E-3 2.66E-4 0.1411 0.6036  4.891 0.2985 0.3463  4.756 0.0000 0.0595  0.000  0.000  0.0000          
 8.75636E+06  4.964  3.692  0.473  8.220  2.812  0.979 1.11E-3 2.66E-4 0.1434 0.6036  4.884 0.2989 0.3459  4.755 0.0000 0.0607  0.000  0.000  0.0000          
 8.75653E+06  4.953  3.676  0.422  8.220  2.812  0.979 1.15E-3 2.66E-4 0.1456 0.6036  4.878 0.2989 0.3457  4.755 0.0000 0.0607  0.000  0.000  0.0000          
 8.75669E+06  4.942  3.661  0.371  8.220  2.811  0.979 1.20E-3 2.66E-4 0.1479 0.6036  4.872 0.2993 0.3453  4.755 0.0000 0.0607  0.000  0.000  0.0000          
 8.75703E+06  4.924  3.639  0.303  8.220  2.810  0.978 1.28E-3 2.66E-4 0.1513 0.6036  4.861 0.2999 0.3449  4.755 0.0000 0.0619  0.000  0.000  0.0000          
 8.75737E+06  4.908  3.621  0.246  8.221  2.810  0.978 1.37E-3 2.66E-4 0.1547 0.6036  4.849 0.3004 0.3445  4.754 0.0000 0.0619  0.000  0.000  0.0000          
 8.75770E+06  4.896  3.611  0.217  8.221  2.809  0.978 1.47E-3 2.66E-4 0.1569 0.6037  4.835 0.3009 0.3439  4.750 0.0000 0.0631  0.000  0.000  0.0000  Brg     
 8.75871E+06  4.960  3.592  0.078  8.223  2.809  0.977 1.74E-3 2.66E-4 0.1636 0.6037  4.794 0.3028 0.3428  4.747 0.0000 0.0643  0.000  0.000  0.0000          
 8.75939E+06  5.058  3.584 -0.054  8.224  2.810  0.976 1.95E-3 2.66E-4 0.1659 0.4543  4.797 0.3036 0.3427  4.744 0.0000 0.0643  0.000  0.000  0.0000          
 8.76057E+06  5.091  3.581 -0.096  8.225  2.811  0.975 2.34E-3 2.67E-4 0.1692 0.3874  4.815 0.3051 0.3431  4.732 0.0000 0.0667  0.000  0.000  0.0000  Tip     
 8.80229E+06  5.032  3.589 -0.009  8.253  2.868  0.919 5.58E-2 7.55E-4 0.2077 0.3878  4.657 0.3285 0.3575  4.791 0.0000 0.0766  0.000  1.032  0.0000          
 8.87935E+06  5.002  3.599  0.061  8.262  2.872  0.795 1.74E-1 5.72E-3 0.2213 0.3896  4.504 0.3428 0.3711  4.838 0.0000 0.0829  0.000  1.002  0.0000  Bhe     
 8.94768E+06  5.003  3.600  0.062  8.270  2.883  0.685 2.74E-1 1.60E-2 0.2285 0.3910  4.456 0.3493 0.3745  4.864 0.0000 0.0868  0.000  1.003  0.0000  LpT     
 9.39203E+06  5.040  3.588 -0.035  8.376  3.144  0.057 4.40E-1 4.77E-1 0.2607 0.4017  3.878 0.3692 0.3867  5.010 0.0000 0.1275  0.000  1.739  0.0000   18.5   
 9.45932E+06  5.094  3.581 -0.119  8.484  3.467  0.001 3.04E-1 6.66E-1 0.2341 0.4037  4.185 0.3724 0.3857  4.843 0.0000 0.1354  0.000  2.541  0.0000   18.4   
 9.46103E+06  5.110  3.579 -0.143  8.526  3.599  0.000 3.02E-1 6.68E-1 0.0000 0.4038  4.306 0.3726 0.3848  2.923 0.0000 0.2954  0.000  2.843  0.0000  Ehe     
 9.46485E+06  5.166  3.574 -0.221  8.633  3.959  0.000 3.02E-1 6.68E-1 0.0000 0.4034  4.224 0.3733 0.3827  4.784 0.1403 0.3087  0.000  3.618  0.0000          
 9.47171E+06  5.226  3.568 -0.305  8.757  4.458  0.000 3.02E-1 6.68E-1 0.0000 0.3898  0.000 0.3740 0.3800  5.124 0.2020 0.3049  1.527  4.543  0.0000          
 9.47476E+06  5.272  3.563 -0.368  8.889  4.988  0.000 3.02E-1 6.68E-1 0.0169 0.3833  0.000 0.3742 0.0000  5.360 0.2261 0.2952  5.903  6.024  0.0000   18.4   
