 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage M Z Y
 2.38199E+07  4.191  4.088  2.546  7.934  2.785  0.982 2.85E-4 3.30E-4 0.0000 0.4337  4.290 0.1535 0.2640  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.38219E+07  4.184  4.059  2.435  7.948  2.834  0.982 2.85E-4 3.30E-4 0.0000 0.4337  4.289 0.1569 0.2606  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.38234E+07  4.177  4.033  2.340  7.959  2.872  0.982 2.85E-4 3.30E-4 0.0000 0.4337  4.287 0.1604 0.2571  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.38246E+07  4.171  4.013  2.266  7.966  2.900  0.982 2.85E-4 3.30E-4 0.0000 0.4337  4.285 0.1604 0.2536  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.38255E+07  4.165  3.996  2.202  7.973  2.922  0.982 2.85E-4 3.30E-4 0.0000 0.4337  4.284 0.1638 0.2518  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.38263E+07  4.159  3.979  2.142  7.979  2.941  0.982 2.85E-4 3.30E-4 0.0000 0.4337  4.282 0.1638 0.2518  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.38270E+07  4.153  3.963  2.081  7.984  2.959  0.982 2.85E-4 3.30E-4 0.0000 0.4337  4.281 0.1667 0.2500  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.38278E+07  4.147  3.946  2.020  7.989  2.977  0.982 2.85E-4 3.30E-4 0.0000 0.4338  4.279 0.1667 0.2483  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.38285E+07  4.139  3.928  1.958  7.994  2.993  0.982 2.85E-4 3.30E-4 0.0000 0.4338  4.277 0.1668 0.2467  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.38291E+07  4.132  3.911  1.894  7.999  3.009  0.982 2.85E-4 3.30E-4 0.0000 0.4338  4.275 0.1697 0.2450  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.38298E+07  4.124  3.892  1.828  8.004  3.025  0.982 2.85E-4 3.30E-4 0.0000 0.4338  4.273 0.1697 0.2450  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.38305E+07  4.114  3.872  1.757  8.009  3.041  0.982 2.85E-4 3.30E-4 0.0000 0.4338  4.270 0.1697 0.2433  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.38311E+07  4.104  3.850  1.681  8.013  3.056  0.982 2.85E-4 3.30E-4 0.0000 0.4338  4.268 0.1723 0.2433  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.38318E+07  4.092  3.827  1.598  8.018  3.071  0.982 2.85E-4 3.30E-4 0.0000 0.4338  4.265 0.1723 0.2416  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 2.38324E+07  4.078  3.801  1.509  8.023  3.086  0.982 2.85E-4 3.30E-4 0.0000 0.4338  4.262 0.1723 0.2399  0.000 0.0000 0.0000  0.000  0.000  0.0000          
